homelat,homelon,homecontinent,n
-12.7502,-60.1488,South America,1
2.98858,-61.3072,South America,1
2.82384,-60.6753,South America,56
3.36161,-59.8333,South America,3
2.60994,-60.6058,South America,3
-27.6963,-48.8243,South America,1
-27.6897,-51.1271,South America,1
-27.5191,-48.766,South America,10
-28.9356,-49.4918,South America,4
-27.3098,-49.6295,South America,1
-28.9806,-49.4237,South America,2
-26.9926,-48.6352,South America,48
-29.1527,-49.5841,South America,2
-26.7639,-48.6717,South America,1
-26.637,-48.6933,South America,1
-27.496,-48.6598,South America,2
-26.9155,-49.0709,South America,59
-27.2007,-49.0689,South America,3
-28.2681,-49.1701,South America,25
-27.0977,-48.9107,South America,15
-26.7757,-51.012,South America,1
-27.0241,-48.6503,South America,22
-27.2616,-48.7658,South America,1
-27.1004,-52.6152,South America,6
-28.5986,-49.3335,South America,1
-28.6723,-49.3729,South America,37
-27.5945,-48.5477,South America,166
-28.7454,-49.4785,South America,1
-28.0275,-48.6192,South America,1
-26.9336,-48.9534,South America,5
-27.3172,-48.5576,South America,3
-28.3208,-49.0427,South America,7
-27.0808,-48.9804,South America,1
-26.4688,-49.0026,South America,1
-28.7132,-49.3087,South America,7
-28.2284,-48.6659,South America,9
-26.8992,-49.2354,South America,2
-26.6539,-52.8955,South America,1
-26.9101,-48.6705,South America,34
-27.0861,-48.616,South America,7
-27.1659,-53.7166,South America,1
-28.6146,-49.0296,South America,3
-26.4851,-49.0713,South America,9
-27.1721,-51.5108,South America,1
-26.3045,-48.8487,South America,49
-27.815,-50.3259,South America,8
-28.4843,-48.7772,South America,4
-26.1159,-49.8086,South America,1
-26.6109,-49.0054,South America,1
-28.6511,-49.2169,South America,2
-26.8943,-48.6546,South America,5
-28.3487,-49.2986,South America,1
-27.6455,-48.6697,South America,7
-26.3777,-50.1419,South America,2
-27.9607,-48.6864,South America,1
-28.4339,-49.1949,South America,2
-28.3966,-48.8864,South America,1
-26.7384,-49.1785,South America,1
-27.1586,-48.5469,South America,5
-27.6727,-49.0191,South America,2
-26.2591,-49.5177,South America,1
-27.8592,-49.7754,South America,1
-28.6326,-49.1322,South America,1
-28.0331,-49.133,South America,2
